character	pinyin
爱	ai
八	ba
爸	ba
吧	ba
白	bai
百	bai
班	ban
半	ban
帮	bang
包	bao
杯	bei
北	bei
备	bei
本	ben
比	bi
边	bian
别	bie
病	bing
不	bu
菜	cai
茶	cha
差	cha
常	chang
场	chang
唱	chang
车	che
吃	chi
出	chu
穿	chuan
床	chuang
次	ci
从	cong
错	cuo
答	da
打	da
大	da
蛋	dan
到	dao
道	dao
得	de
地	di
的	de
等	deng
弟	di
第	di
点	dian
电	dian
店	dian
东	dong
动	dong
都	dou
读	du
对	dui
多	duo
饿	e
儿	er
二	er
饭	fan
方	fang
房	fang
放	fang
飞	fei
非	fei
分	fen
风	feng
服	fu
干	gan
高	gao
告	gao
哥	ge
歌	ge
个	ge
给	gei
跟	gen
工	gong
关	guan
馆	guan
贵	gui
国	guo
果	guo
过	guo
还	hai
孩	hai
汉	han
好	hao
号	hao
喝	he
和	he
很	hen
后	hou
候	hou
花	hua
话	hua
坏	huai
欢	huan
回	hui
会	hui
火	huo
机	ji
鸡	ji
几	ji
记	ji
家	jia
假	jia
间	jian
见	jian
教	jiao
叫	jiao
觉	jue
姐	jie
介	jie
今	jin
进	jin
京	jing
净	jing
九	jiu
就	jiu
开	kai
看	kan
考	kao
渴	ke
客	ke
课	ke
口	kou
块	kuai
快	kuai
来	lai
老	lao
了	le
累	lei
冷	leng
里	li
两	liang
零	ling
六	liu
楼	lou
路	lu
妈	ma
马	ma
吗	ma
买	mai
慢	man
忙	mang
毛	mao
么	me
没	mei
妹	mei
门	men
们	men
米	mi
面	mian
名	ming
明	ming
拿	na
哪	na
那	na
奶	nai
男	nan
南	nan
难	nan
脑	nao
呢	ne
能	neng
你	ni
年	nian
您	nin
牛	niu
女	nv
旁	pang
跑	pao
朋	peng
票	piao
七	qi
期	qi
起	qi
气	qi
汽	qi
前	qian
钱	qian
请	qing
球	qiu
去	qu
热	re
人	ren
认	ren
日	ri
肉	rou
三	san
山	shan
商	shang
上	shang
少	shao
绍	shao
身	shen
什	shen
生	sheng
师	shi
十	shi
时	shi
识	shi
事	shi
试	shi
视	shi
是	shi
手	shou
书	shu
树	shu
谁	shui
水	shui
睡	shui
说	shuo
四	si
送	song
诉	su
岁	sui
他	ta
她	ta
太	tai
体	ti
天	tian
条	tiao
听	ting
同	tong
图	tu
外	wai
玩	wan
晚	wan
网	wang
忘	wang
文	wen
问	wen
我	wo
五	wu
午	wu
西	xi
息	xi
习	xi
洗	xi
喜	xi
系	xi
下	xia
先	xian
现	xian
想	xiang
小	xiao
校	xiao
笑	xiao
些	xie
写	xie
谢	xie
新	xin
星	xing
行	xing
兴	xing
休	xiu
学	xue
样	yang
要	yao
爷	ye
也	ye
页	ye
一	yi
衣	yi
医	yi
影	ying
用	yong
友	you
有	you
右	you
雨	yu
语	yu
元	yuan
远	yuan
院	yuan
月	yue
再	zai
在	zai
早	zao
怎	zen
站	zhan
找	zhao
这	zhe
着	zhe
真	zhen
正	zheng
知	zhi
中	zhong
重	zhong
住	zhu
准	zhun
桌	zhuo
子	zi
字	zi
走	zou
最	zui
昨	zuo
左	zuo
作	zuo
坐	zuo
做	zuo
啊	a
安	an
般	ban
板	ban
办	ban
饱	bao
报	bao
背	bei
笔	bi
必	bi
变	bian
便	bian
遍	bian
表	biao
部	bu
才	cai
参	can
餐	can
草	cao
层	ceng
查	cha
长	zhang
超	chao
晨	chen
称	cheng
成	cheng
楚	chu
处	chu
船	chuan
吹	chui
春	chun
词	ci
带	dai
单	dan
但	dan
当	dang
倒	dao
灯	deng
低	di
典	dian
掉	diao
定	ding
冬	dong
懂	dong
度	du
短	duan
段	duan
队	dui
而	er
发	fa
法	fa
份	fen
封	feng
复	fu
该	gai
改	gai
感	gan
刚	gang
更	geng
公	gong
共	gong
狗	gou
够	gou
故	gu
顾	gu
观	guan
惯	guan
广	guang
海	hai
喊	han
合	he
河	he
黑	hei
红	hong
忽	hu
湖	hu
护	hu
划	hua
画	hua
换	huan
黄	huang
活	huo
或	huo
级	ji
急	ji
己	ji
计	ji
际	ji
绩	ji
加	jia
检	jian
件	jian
健	jian
讲	jiang
交	jiao
角	jiao
饺	jiao
脚	jiao
接	jie
街	jie
节	jie
结	jie
借	jie
斤	jin
近	jin
经	jing
睛	jing
静	jing
久	jiu
酒	jiu
举	ju
句	ju
卡	ka
康	kang
靠	kao
科	ke
可	ke
克	ke
刻	ke
空	kong
哭	ku
筷	kuai
拉	la
蓝	lan
篮	lan
乐	le
离	li
礼	li
理	li
力	li
利	li
例	li
脸	lian
练	lian
凉	liang
亮	liang
辆	liang
量	liang
留	liu
流	liu
旅	lv
绿	lv
论	lun
卖	mai
满	man
猫	mao
末	mo
目	mu
鸟	niao
弄	nong
努	nu
爬	pa
怕	pa
排	pai
碰	peng
篇	pian
片	pian
漂	piao
平	ping
瓶	ping
普	pu
其	qi
骑	qi
千	qian
墙	qiang
且	qie
青	qing
轻	qing
清	qing
情	qing
晴	qing
秋	qiu
求	qiu
取	qu
全	quan
确	que
然	ran
让	rang
如	ru
色	se
声	sheng
省	sheng
实	shi
食	shi
使	shi
示	shi
市	shi
适	shi
室	shi
收	shou
受	shou
舒	shu
熟	shu
数	shu
顺	shun
司	si
思	si
算	suan
虽	sui
随	sui
所	suo
它	ta
态	tai
堂	tang
讨	tao
套	tao
特	te
疼	teng
提	ti
题	ti
铁	tie
庭	ting
停	ting
挺	ting
通	tong
头	tou
推	tui
腿	tui
完	wan
碗	wan
万	wan
王	wang
往	wang
为	wei
位	wei
味	wei
喂	wei
温	wen
闻	wen
务	wu
物	wu
夏	xia
相	xiang
响	xiang
向	xiang
像	xiang
鞋	xie
心	xin
信	xin
姓	xing
须	xu
许	xu
选	xuan
雪	xue
言	yan
颜	yan
眼	yan
阳	yang
养	yang
药	yao
业	ye
夜	ye
宜	yi
已	yi
以	yi
椅	yi
亿	yi
意	yi
因	yin
阴	yin
音	yin
银	yin
印	yin
应	ying
英	ying
迎	ying
永	yong
由	you
油	you
游	you
又	you
于	yu
鱼	yu
育	yu
园	yuan
原	yuan
愿	yuan
越	yue
云	yun
运	yun
咱	zan
脏	zang
澡	zao
占	zhan
照	zhao
者	zhe
直	zhi
只	zhi
纸	zhi
钟	zhong
周	zhou
主	zhu
助	zhu
装	zhuang
自	zi
租	zu
